x1,y1,z1
-0.706698,-0.024037,0.707107
-0.699596,-0.023795,0.714142
-0.692424,-0.023551,0.721107
-0.685182,-0.023305,0.727999
-0.677872,-0.023057,0.734818
-0.670495,-0.022806,0.741564
-0.663050,-0.022552,0.748235
-0.655539,-0.022297,0.754832
-0.647962,-0.022039,0.761353
-0.640321,-0.021779,0.767799
-0.632615,-0.021517,0.774167
-0.624847,-0.021253,0.780458
-0.617016,-0.020987,0.786671
-0.609123,-0.020718,0.792805
-0.601169,-0.020448,0.798860
-0.593155,-0.020175,0.804835
-0.585082,-0.019900,0.810730
-0.576950,-0.019624,0.816544
-0.568761,-0.019345,0.822276
-0.560514,-0.019065,0.827925
-0.552212,-0.018782,0.833492
-0.543854,-0.018498,0.838976
-0.535442,-0.018212,0.844375
-0.526977,-0.017924,0.849691
-0.518459,-0.017634,0.854921
-0.509889,-0.017343,0.860066
-0.501268,-0.017050,0.865124
-0.492596,-0.016755,0.870097
-0.483876,-0.016458,0.874982
-0.475107,-0.016160,0.879779
-0.466291,-0.015860,0.884489
-0.457428,-0.015559,0.889111
-0.448519,-0.015256,0.893643
-0.439566,-0.014951,0.898086
-0.430568,-0.014645,0.902439
-0.421528,-0.014337,0.906702
-0.412445,-0.014029,0.910874
-0.403321,-0.013718,0.914956
-0.394157,-0.013406,0.918945
-0.384953,-0.013093,0.922843
-0.375711,-0.012779,0.926649
-0.366431,-0.012463,0.930362
-0.357115,-0.012147,0.933982
-0.347763,-0.011828,0.937508
-0.338376,-0.011509,0.940941
-0.328955,-0.011189,0.944279
-0.319501,-0.010867,0.947524
-0.310016,-0.010545,0.950673
-0.300499,-0.010221,0.953727
-0.290953,-0.009896,0.956686
-0.281377,-0.009570,0.959550
-0.271773,-0.009244,0.962317
-0.262142,-0.008916,0.964988
-0.252485,-0.008588,0.967563
-0.242802,-0.008258,0.970041
-0.233095,-0.007928,0.972422
-0.223365,-0.007597,0.974705
-0.213613,-0.007266,0.976891
-0.203839,-0.006933,0.978980
-0.194045,-0.006600,0.980970
-0.184231,-0.006266,0.982863
-0.174399,-0.005932,0.984657
-0.164550,-0.005597,0.986353
-0.154684,-0.005261,0.987950
-0.144803,-0.004925,0.989448
-0.134907,-0.004589,0.990848
-0.124997,-0.004252,0.992148
-0.115076,-0.003914,0.993349
-0.105142,-0.003576,0.994451
-0.095198,-0.003238,0.995453
-0.085245,-0.002899,0.996356
-0.075283,-0.002561,0.997159
-0.065314,-0.002222,0.997862
-0.055338,-0.001882,0.998466
-0.045356,-0.001543,0.998970
-0.035370,-0.001203,0.999374
-0.025381,-0.000863,0.999677
-0.015389,-0.000523,0.999881
-0.005395,-0.000184,0.999985
0.004599,0.000156,0.999989
0.014593,0.000496,0.999893
0.024585,0.000836,0.999697
0.034575,0.001176,0.999401
0.044561,0.001516,0.999006
0.054543,0.001855,0.998510
0.064520,0.002195,0.997914
0.074490,0.002534,0.997219
0.084452,0.002872,0.996423
0.094406,0.003211,0.995529
0.104351,0.003549,0.994534
0.114285,0.003887,0.993440
0.124208,0.004225,0.992247
0.134118,0.004562,0.990955
0.144015,0.004898,0.989563
0.153898,0.005235,0.988073
0.163765,0.005570,0.986484
0.173616,0.005905,0.984796
0.183449,0.006240,0.983009
0.193264,0.006574,0.981125
0.203060,0.006907,0.979142
0.212835,0.007239,0.977061
0.222589,0.007571,0.974883
0.232321,0.007902,0.972607
0.242030,0.008232,0.970234
0.251715,0.008562,0.967764
0.261374,0.008890,0.965197
0.271007,0.009218,0.962533
0.280613,0.009545,0.959774
0.290191,0.009870,0.956918
0.299740,0.010195,0.953966
0.309259,0.010519,0.950920
0.318747,0.010842,0.947778
0.328203,0.011163,0.944541
0.337627,0.011484,0.941210
0.347016,0.011803,0.937785
0.356371,0.012121,0.934266
0.365691,0.012438,0.930653
0.374973,0.012754,0.926948
0.384218,0.013068,0.923150
0.393425,0.013382,0.919259
0.402593,0.013693,0.915277
0.411720,0.014004,0.911203
0.420806,0.014313,0.907038
0.429850,0.014621,0.902782
0.438851,0.014927,0.898436
0.447808,0.015231,0.894000
0.456720,0.015534,0.889475
0.465587,0.015836,0.884861
0.474407,0.016136,0.880158
0.483180,0.016434,0.875367
0.491904,0.016731,0.870489
0.500579,0.017026,0.865523
0.509204,0.017320,0.860472
0.517778,0.017611,0.855334
0.526301,0.017901,0.850110
0.534770,0.018189,0.844802
0.543186,0.018475,0.839409
0.551548,0.018760,0.833932
0.559855,0.019042,0.828372
0.568106,0.019323,0.822728
0.576300,0.019602,0.817003
0.584436,0.019878,0.811196
0.592514,0.020153,0.805308
0.600533,0.020426,0.799339
0.608492,0.020697,0.793290
0.616389,0.020965,0.787162
0.624225,0.021232,0.780956
0.631999,0.021496,0.774671
0.639710,0.021759,0.768309
0.647356,0.022019,0.761870
0.654938,0.022276,0.755354
0.662454,0.022532,0.748763
0.669904,0.022786,0.742098
0.677287,0.023037,0.735358
0.684603,0.023285,0.728544
0.691850,0.023532,0.721658
0.699027,0.023776,0.714700
0.706135,0.024018,0.707670
-0.706187,-0.036047,0.707107
-0.699090,-0.035685,0.714142
-0.691923,-0.035319,0.721107
